REGION,GENE
YBR126W-A,MEO1
YBR213W,MET8
YBR262C,MIC12
YBL039W-B,MIN6
YBR201C-A,MIN7
YBR084W,MIS1
YBL107C,MIX23
YBR098W,MMS4
YBR056W-A,MNC1
YBR015C,MNN2
YBL049W,MOH1
YBL090W,MRP21
YBL038W,MRPL16
YBR282W,MRPL27
YBR122C,MRPL36
YBR268W,MRPL37
YBR251W,MRPS5
YBR146W,MRPS9
YBR056W,MRX18
YBL095W,MRX3
YBR195C,MSI1
YBR255W,MTC4
YBR119W,MUD1
YBR057C,MUM2
YBL024W,NCL1
YBR212W,NGR1
YBR089C-A,NHP6B
YBR170C,NPL4
YBR066C,NRG2
YBR188C,NTC20
YBR001C,NTH2
YBL079W,NUP170
YBR025C,OLA1
YBR230C,OM14
YBR129C,OPY1
YBR060C,ORC2
YBR279W,PAF1
YBR301W,PAU24
YBL108C-A,PAU9
YBR233W,PBP2
YBR094W,PBY1
YBR295W,PCA1
YBR186W,PCH2
YBR222C,PCS60
YBR221C,PDB1
YBL005W,PDR3
YBR035C,PDX3
YBL017C,PEP1
YBL080C,PET112
YBL030C,PET9
YBR168W,PEX32
YBR074W,PFF1
YBR196C,PGI1
YBR092C,PHO3
YBR093C,PHO5
YBR296C,PHO89
YBL022C,PIM1
YBL051C,PIN4
YBL105C,PKC1
YBR022W,POA1
YBL035C,POL12
YBR088C,POL30
YBR257W,POP4
YBR167C,POP7
YBL018C,POP8
YBR276C,PPS1
YBL041W,PRE7
YBR237W,PRP5
YBR055C,PRP6
YBL068W,PRS4
YBL064C,PRX1
YBL046W,PSY4
YBL056W,PTC3
YBR125C,PTC4
YBL057C,PTH2
YBR218C,PYC2
YBR043C,QDR3
YBR114W,RAD16
YBR255C-A,RCF3
YBR005W,RCR1
YBR073W,RDH54
YBR049C,REB1
YBR050C,REG2
YBR267W,REI1
YBR002C,RER2
YBR087W,RFC5
YBR052C,RFS1
YBL020W,RFT1
YBR260C,RGD1
YBL033C,RIB1
YBR256C,RIB5
YBR153W,RIB7
YBR275C,RIF1
YBR192W,RIM2
YBR030W,RKM3
YBR229C,ROT2
YBL093C,ROX3
YBR154C,RPB5
YBR079C,RPG1
YBR084C-A,RPL19A
YBL027W,RPL19B
YBR191W,RPL21A
YBL087C,RPL23A
YBL092W,RPL32
YBR031W,RPL4A
YBR048W,RPS11B
YBR181C,RPS6B
YBL072C,RPS8A
YBR189W,RPS9B
YBL025W,RRN10
YBL014C,RRN6
YBL048W,RRT1
YBR246W,RRT2
YBR147W,RTC2
YBL103C,RTG3
YBR095C,RXT2
YBR280C,SAF1
YBL052C,SAS3
YBR037C,SCO1
YBR024W,SCO2
YBL091C-A,SCS22
YBL011W,SCT1
YBR269C,SDH8
YBR214W,SDS24
YBL104C,SEA4
YBL050W,SEC17
YBR080C,SEC18
YBR171W,SEC66
YBL066C,SEF1
YBL102W,SFT2
YBL031W,SHE1
YBR130C,SHE3
YBR258C,SHG1
YBR263W,SHM1
YBL058W,SHP1
YBR103W,SIF2
YBL061C,SKT5
YBL007C,SLA1
YBR156C,SLI15
YBR077C,SLM4
YBR266C,SLM6
YBR228W,SLX1
YBR182C,SMP1
YBR172C,SMY2
YBR106W,SND3
YBR289W,SNF5
YBR250W,SPO23
YBR152W,SPP381
YBR081C,SPT7
YBR253W,SRB6
YBL106C,SRO77
YBL075C,SSA3
YBR169C,SSE2
YBR283C,SSH1
YBL034C,STU1
YBR294W,SUL1
YBR143C,SUP45
YBR111W-A,SUS1
YBR231C,SWC5
YBR175W,SWD3
YBR261C,TAE1
YBR198C,TAF5
YBR069C,TAT1
YBR150C,TBS1
YBR044C,TCM62
YBR223C,TDP1
YBR083W,TEC1
YBR118W,TEF2
YBL088C,TEL1
YBR123C,TFC1
YBR240C,THI2
YBR091C,TIM12
YBR067C,TIP1
YBR117C,TKL2
YBL054W,TOD6
YBR162C,TOS1
YBR126C,TPS1
YBR061C,TRM7
YBR254C,TRS20
YBR265W,TSC10
YBR058C-A,TSC3
YBR296C-A,TYC1
YBR166C,TYR1
YBR082C,UBC4
YBL067C,UBP13
YBR058C,UBP14
YBR165W,UBS1
YBR273C,UBX7
YBR006W,UGA2
YBR173C,UMP1
YBL039C,URA7
YBL004W,UTP20
YBR293W,VBA2
YBR235W,VHC1
YBR105C,VID24
YBR127C,VMA2
YBR097W,VPS15
YBR241C,VVS1
YBR216C,YBP1
YBL060W,YEL1
YBR104W,YMC2
YBR183W,YPC1
YBR028C,YPK3
YBR264C,YPT10
YBR054W,YRO2
YBR111C,YSA1
YBR148W,YSW1
YBR162W-A,YSY6
YBR046C,ZTA1
YBL005W-A,YBL005W-A
YBL005W-B,YBL005W-B
YBL006W-A,YBL006W-A
YBL008W-A,YBL008W-A
YBL012C,YBL012C
YBL028C,YBL028C
YBL029C-A,YBL029C-A
YBL029W,YBL029W
YBL036C,YBL036C
YBL039C-A,YBL039C-A
YBL044W,YBL044W
YBL053W,YBL053W
YBL055C,YBL055C
YBL062W,YBL062W
YBL065W,YBL065W
YBL068W-A,YBL068W-A
YBL070C,YBL070C
YBL071C,YBL071C
YBL071C-B,YBL071C-B
YBL073W,YBL073W
YBL077W,YBL077W
YBL081W,YBL081W
YBL083C,YBL083C
YBL086C,YBL086C
YBL094C,YBL094C
YBL096C,YBL096C
YBL100C,YBL100C
YBL100W-A,YBL100W-A
YBL100W-B,YBL100W-B
YBL100W-C,YBL100W-C
YBL103C-A,YBL103C-A
YBL107W-A,YBL107W-A
YBL108W,YBL108W
YBL109W,YBL109W
YBL111C,YBL111C
YBL112C,YBL112C
YBL113C,YBL113C
YBL113W-A,YBL113W-A
YBR012C,YBR012C
YBR012W-A,YBR012W-A
YBR012W-B,YBR012W-B
YBR013C,YBR013C
YBR027C,YBR027C
YBR032W,YBR032W
YBR051W,YBR051W
YBR053C,YBR053C
YBR056C-B,YBR056C-B
YBR062C,YBR062C
YBR064W,YBR064W
YBR071W,YBR071W
YBR072C-A,YBR072C-A
YBR075W,YBR075W
YBR076C-A,YBR076C-A
YBR085C-A,YBR085C-A
YBR089W,YBR089W
YBR090C,YBR090C
YBR096W,YBR096W
YBR099C,YBR099C
YBR100W,YBR100W
YBR103C-A,YBR103C-A
YBR109W-A,YBR109W-A
YBR113W,YBR113W
YBR116C,YBR116C
YBR121C-A,YBR121C-A
YBR124W,YBR124W
YBR126W-B,YBR126W-B
YBR131C-A,YBR131C-A
YBR134W,YBR134W
YBR137W,YBR137W
YBR138C,YBR138C
YBR141W-A,YBR141W-A
YBR144C,YBR144C
YBR174C,YBR174C
YBR178W,YBR178W
YBR182C-A,YBR182C-A
YBR184W,YBR184W
YBR190W,YBR190W
YBR191W-A,YBR191W-A
YBR196C-A,YBR196C-A
YBR196C-B,YBR196C-B
YBR197C,YBR197C
YBR200W-A,YBR200W-A
YBR206W,YBR206W
YBR209W,YBR209W
YBR219C,YBR219C
YBR220C,YBR220C
YBR221W-A,YBR221W-A
YBR223W-A,YBR223W-A
YBR224W,YBR224W
YBR225W,YBR225W
YBR226C,YBR226C
YBR232C,YBR232C
YBR238C,YBR238C
YBR242W,YBR242W
YBR259W,YBR259W
YBR277C,YBR277C
YBR284W,YBR284W
YBR285W,YBR285W
YBR287W,YBR287W
YBR292C,YBR292C
YBR298C-A,YBR298C-A
YBR300C,YBR300C
YCR107W,AAD3
YCR088W,ABP1
YCL058W-A,ADF1
YCR105W,ADH7
YCR011C,ADP1
YCR010C,ADY2
YCL025C,AGP1
YCR082W,AHC2
YCL050C,APA1
YCR048W,ARE1
YCR068W,ATG15
YCL038C,ATG22
YCL029C,BIK1
YCR032W,BPH1
YCR047C,BUD23
YCL014W,BUD3
YCR063W,BUD31
YCR038C,BUD5
YCR002C,CDC10
YCR093W,CDC39
YCR094W,CDC50
YCL064C,CHA1
YCR005C,CIT2
YCR069W,CPR4
YCR086W,CSM1
YCR015C,CTO1
YCR054C,CTR86
YCR017C,CWH43
YCL016C,DCC1
YCR007C,DFP3
YCR075W-A,EGO2
YCR034W,ELO2
YCR100C,EMA35
YCL045C,EMC1
YCR075C,ERS1
YCR028C,FEN2
YCR089W,FIG2
YCL026C-A,FRM2
YCR076C,FUB1
YCL027W,FUS1
YCL058C,FYV5
YCL011C,GBP2
YCL073C,GEX1
YCL036W,GFD2
YCL039W,GID7
YCR098C,GIT1
YCL040W,GLK1
YCL035C,GRX1
YCL026C-B,HBN1
YCR065W,HCM1
YCL030C,HIS4
YCL066W,HMLALPHA1
YCL067C,HMLALPHA2
YCR097W,HMRA1
YCR096C,HMRA2
YCR021C,HSP30
YCR020W-B,HTL1
YCL009C,ILV6
YCR046C,IMG1
YCR071C,IMG2
YCL055W,KAR4
YCL024W,KCC4
YCR091W,KIN82
YCL059C,KRR1
YCL005W,LDB16
YCL018W,LEU2
YCL051W,LRE1
YCL034W,LSB5
YCR020C-A,MAK31
YCR019W,MAK32
YCR040W,MATALPHA1
YCR039C,MATALPHA2
YCL044C,MGR1
YCL057C-A,MIC10
YCL061C,MRC1
YCR003W,MRPL32
YCR092C,MSH3
YCL033C,MXR2
YCL017C,NFS1
YCR026C,NPP1
YCR095C,OCA4
YCR077C,PAT1
YCR104W,PAU3
YCL052C,PBN1
YCL043C,PDI1
YCR044C,PER1
YCR020C,PET18
YCL056C,PEX34
YCR012W,PGK1
YCL004W,PGS1
YCR037C,PHO87
YCR024C-A,PMP1
YCL047C,POF1
YCR014C,POL4
YCL057W,PRD1
YCR079W,PTC6
YCR057C,PWP2
YCR066W,RAD18
YCR036W,RBK1
YCR016W,RBP95
YCR106W,RDS1
YCL054W-A,RDT1
YCL001W,RER1
YCR027C,RHB1
YCR028C-A,RIM1
YCL028W,RNQ1
YCR031C,RPS14A
YCR035C,RRP43
YCL031C,RRP7
YCR045C,RRT12
YCR072C,RSA4
YCR052W,RSC6
YCR009C,RVS161
YCR008W,SAT4
YCR067C,SED4
YCL010C,SGF29
YCR024C,SLM5
YCR033W,SNT1
YCR073W-A,SOL2
YCL054W,SPB1
YCL048W,SPS22
YCR081W,SRB8
YCR018C,SRD1
YCL037C,SRO9
YCR073C,SSK22
YCL032W,STE50
YCL008C,STP22
YCR030C,SYP1
